id,short_id,text,text_embedding,entity_ids,relationship_ids,covariate_ids,n_tokens,document_ids,attributes
de6384c6-88b7-4542-9eff-a5fa9de0ed9e,0,"赛道：高教主赛道
组别：本科生-创意组
类型：人工智能+
项目负责人：程煜
中国国际大学生创新大赛（2024）
Sapper智造
精控大模型的专业AI智能体智造平台
AI智能体工作效能瞩目
AI智能体帮助脑力工作者
平均效率提升12.2%
""Navigating the Jagged Technological Frontier: 
Field Experimental Evidence of the Effects of 
AI on Knowledge Worker Productivity and 
Quality."" Harvard Business School Working 
Paper, No. 24-013, September 2023.
数据来源于2023.9.15哈佛商学院联合波士顿咨询集团的研究报告
AI智能体发展潜力无穷
业内巨擎普遍认为基于大模型开发
的AI智能体是下一个技术爆炸点
大语言模型本身并不直接
创造价值，只有基于大模型开
发出来的AI智能体才能够真正
满足市场。——李彦宏
       AI智能体将是大模型之后下
一个平台，不仅改变每个人与计
算机互动的方式，还将在五",,,,,,['e209370b-f0ee-4238-a24b-dc2d0a4aef12'],
5ea32c75-bb0e-4c0b-acbd-4f741f96d7f1,1,"年内
彻底改变我们的生活。
——比尔·盖茨
AI智能体发展态势迅猛
相较于大模型，AI智能体在
专业领域的应用更加广泛
IBM
Watson Health智能体在
医疗领域提供精确治疗建议 
嘉信理财
Intelligent Portfolio智能体
在金融领域检测欺诈行为
亚马逊
Alexa智能体在零售业通过
个性化推荐优化供应链管理
通用电气
Predix智能体在制造业
实时监控设备运行状态
特斯拉
Autopilot智能体在运输领域
辅助路线规划和车辆管理
https://www.gatesnotes.com/AI-agents
3.45
29.92
0
5
10
15
20
25
30
35
2019
2020
2021
2022
2023
2024
亿-美元
全球AI智能体市场规模
3.2
4.8
285
0
50
100
150
200
250
300
2022
2023
........
2028
亿-美元
全球AI智能体市场收入规模
54%
43%
2024年市场收入规模将达210亿
2028年市场规模预计达2000亿
数据来源：grand view research
https://www.",,,,,,['e209370b-f0ee-4238-a24b-dc2d0a4aef12'],
c209fc7d-eeff-484d-8019-7eebfe263b42,2,"marketsandmarkets.com/Market-Reports/autonomous-ai-and-autonomous-agents-market-208190735.html
“加快发展新一代人工智能是推动我国科技跨越发展、产业优化
升级、生产力整体跃升的重要战略资源。”
——习近平在2023年10月中共中央政治局
第九次集体学习时强调
国家多部门出台政策
促进人工智能赋能
江西省产业数字化转型
助力人工智能落地
“十四五”数字经济发展规划
“1269”行动计划
c
全球AI智能体生产平台仅80+家
其中国内平台仅占19家
firsthand.ai
AgentRunner.ai
Beam.ai
agenta.ai
Kompas.ai
Voiceflow.com
Synthflow.ai
gptbots.ai
文心智能体平台 千帆
Coze（扣子）
钉钉AI助理
ModelScopeGPT
无
国内外AI智能体开发平台很难满足企业级任务，中国企业应用甚少
国外平台
国内平台
江西平台
c
中国企业尚未普遍采用人工智能技术
数据来源：https://www.mckinsey.com.cn/麦肯锡全球",,,,,,['e209370b-f0ee-4238-a24b-dc2d0a4aef12'],
ebab0b3c-4acc-4468-a70f-07e70c3a0b95,3,"人工智能最新调研/
调查结果显示，只有9%
的中国企业可借助AI实现
10%以上的收入增长，而
领先国家受访企业中有
19%的公司能实现该增长。
在利润贡献上，AI对EBIT（息
税前利润）的贡献超过20%的
受访中国企业仅有7%， 而领先
国家该占比达14%。中国企业
AI技术的变现能力和经济价值
创造亟待提高。
现有市场上的AI智能体平台无法满足企业级复杂任务
需求引导不足
需求输入是控制AI生成的最关
键因素之一，然而目前的智能
体开发平台无法从用户有限的
需求表达出发，通过充分地引
导帮助用户完善需求。
结果输出不准
AI智能体诞生是为了更加精确
的结果输出。然而研究数据显
示，现有大模型在知识获取、
逻辑推理和文本理解等方面的
平均准确率仅为60%。
流程实现不易
产品能留住大量用户的基本要
求之一是学习快速，上手简单。
然而面对复杂任务时，现有的
开发平台甚至需要用户搭包含
代码的冗长的工作流。
用户需求无引导
用户体验感不佳
用户学习成本高
痛点一
痛点二
痛点三
数据来源：https://mistral.ai/news/announcing-mistral-7b/
扩展简单需求   优化输出精",,,,,,['e209370b-f0ee-4238-a24b-dc2d0a4aef12'],
3de431b6-4633-481d-85e3-9673f893a88f,4,"准度   轻松实现复杂任务
c
解决痛点一：需求引导不足
提示词一键生成器通过一次对
话将用户简单需求补全为更完
整的需求
提示词一键优化器从11个层面
全面优化提示词
c
解决痛点二：结果输出不准
设计表单将提示词的基本组成
元素分块
分块提示词实现智能体执行流
程精准控制
c
解决痛点三：流程实现不易
使用RefData、RefAPI等
自然描述方式实现数据引用
与插件调用，替代传统代码
编写实现相应功能的方式
团队成员在实验室老
师带领下深耕人工智
能，成功把握AI浪潮
AI技术跟进
2021.11
国际首创AI链方法论，
在AI智能体概念正式
提出前抓住技术风口
核心技术攻关
2022.06
团队设计一套基于表单
驱动的智能体创建流程，
开始开发相关平台
平台开发
2023.05
团队设计自然语言链
式编译计算方法，开
发调试、测试等功能
平台技术更新
2023.11
Sapper
国际上首次提出革命性的“智能体提示设计方法” 助力实现智能体提示词生成器
基于操作
面向需求分析
Prompt Sapper: A LLM-Empowered 
Production Tool for Building A",,,,,,['e209370b-f0ee-4238-a24b-dc2d0a4aef12'],
41fd8a60-c19b-4566-935a-5793929bf40a,5,"I Chains
第一作者
国际首创理论
AI链方法论
软件工程理论研究领域CCF-A类期刊
该期刊相当于计算机领域Nature和Science正刊
AI虚拟软件工程师
最佳人机交互设计：一键自动生成器 + 11层自动优化器
数据来源：论文实验中基于来自教育、企业等八个行业的48名参与者的数据
需求变更率
变更次数 
≤ 5%
需求在最初阶段
已经得到充分澄清
需求完成率
实际完成/计划需
求
 ≥ 90%
需求澄清准确充分
需求缺陷率
缺陷数/总需求数
 ≤ 5%
澄清结果明确
多轮对话澄清
生成简单的内容
ü 最佳人机交互在于简要说明和基于表单内容的微调
ü 拥有提示词设计经验和软件设计经验的AI虚拟软件工程师
内容专业
内容丰富
一次简要说明
生成丰富、专业的内容
对需求简单说明
实现智能体提示词生成器生成专业内容，一次说明胜过多轮对话
GPT Builder
Sapper
VS.
OpenAI公司旗下AI智能体开发平台
原创甚高级语言SPL驱动的智能体链式编译方法，支持模型输出的跟踪解释
基于操作
AI智能体
基于操作指令的智能体提示词
分
基于特性引用的智能体提示词拆分
SPL的智能体描述向程序语言",,,,,,['e209370b-f0ee-4238-a24b-dc2d0a4aef12'],
fdc26a49-0cd8-4e09-80af-044f78dbb027,6,"
换
程序语言主导的AI链
编
译
器
面向需求分析
在三个测试数据集中使用SPL
大模型输出准确率
平均达85%，提高25%
SPL基本设计思路
SPL基本架构
Prompt
设计原则
Prompt设
计过程软
件工程化
软件工程
设计原则
根据
Prompt新
元素设计
SPL
SPL设计
Prompt基本元素覆盖
Prompt增强元素引入
结构化
模块化和关注点分离
验证与测试
语
法
BNF
语
义
英语含义及文档结构
ü原创甚高级语言，允许在自然语言中嵌入数据类型、数据变量、类型检测和内容审核等程序语言特性，实现负责任的AI。
ü基于原创甚高级语言的AI链编译技术
纯自然语言
结构混乱 变量缺少
对输出的古诗变量添加类型检测和暴力倾向检测
不同步骤间变量传递
SPL
结构清晰 
变量明确
目标定位和目标受众混于一句话
“首先”步骤提及的“含义”与“然后”步骤提及的“主题”未必一致，具有模糊性
“首先”步骤
“然后”步骤
直接运行，输入相同，输出不同，容易失败，无法跟踪解释
编译运行，输入相同，输出相同，且均成功，可以跟踪解释
实现表单驱动智能体创作流， 提高AI输出一致性、成功率及结果可解释性
GP",,,,,,['e209370b-f0ee-4238-a24b-dc2d0a4aef12'],
8484ad0c-2055-4051-82e4-7e0b92d02600,7,"T Builder
Sapper
VS.
OpenAI公司旗下AI智能体开发平台
面向需求分析
原创甚高级语言SPL驱动的智能体链式计算方法，支持自然语言实现代码功能
面向需求分析
传统模式
时间成本
技术要求
实现难度
代码语言
2~3年编程
能力学习
高，需要熟练的
编程技能
高，需要编写
上百行代码
流程图
数月至1年
中，需要工具
使用熟练度
中，需要详细的
流程设计
Sapper通过自研的面向自然语言
的智能体运行计算方法，完全避免了
上述复杂性和高技术门槛的问题
智能体-AI链（自然语言）
命令解释器
大语言模型
JDK 库
外部插件库
形式化验证
测试框架
算法底座
命令执行器
数据存储器
虚
拟
机
在传统模式下实现代码级复杂功能
（以Langchain和扣子平台为例）
ü原创甚高级语言，允许在自然语言中嵌入数据检索、API调用等程序语言特性。
ü基于原创甚高级语言的AI链计算技术
程序语言RAG
自然语言提示
程序语言变量传递
混合自然语言和程序语言 高门槛 百行代码
仅自然语言 低门槛 若干自然语言代码
设置智能体初始化参数（一智多用）
可视化实现检索强化生成（RAG）
设置筛选条件
设置",,,,,,['e209370b-f0ee-4238-a24b-dc2d0a4aef12'],
5b53f568-6a4a-4b15-8266-cad78a5b0e62,8,"搜索内容
设置搜素内容的格式
实现Ref引用法，提高用户友好性和可操作性，降低使用门槛
Lang Chain
Sapper
VS.
三大核心技术打造人人可用的专业AI智能体智造平台，让AI触手可及
c
ü 个性化定制，打造用户专属助理
ü 表单式创建，让设计流程更简单
ü 自动化优化，让创作内容更丰富
c
ü 自主添加外部文件，使智能体更好
地满足用户需求，实现精准化输出
ü 轻松添加外部插件，高效利用外部资源
ü 平台内嵌海量智能体供您使用，
    也可自主选择分享您的设计成果
Sapper
专利软著布局完善 为科技服务生态链构建保驾护航
成果类型
成果名称
专利号/软件登记号
核心发明人
发明专利
基于大型自然语言处理模型的编程练习辅助方法及系统
2023106330061
黄箐/谢航
发明专利
基于 AI-Chain 的求职方法、装置及计算机存储介质
2023106491203
廖云燕/刘晨华
发明专利
基于大型语言模型的模板化文本生成方法及系统
2023106572785
曾锦山/胡海森
发明专利
一种用于开发和设计AI 服务的系统
2023107508682
邢振昌/黄箐
软件著作权
Prompt",,,,,,['e209370b-f0ee-4238-a24b-dc2d0a4aef12'],
e6fc4095-9e85-4aaf-b379-37ee835afb05,9," Sapper无代码在线开发平台
2024R11so747229
程煜
软件著作权
计算机数据云智能处理分析系统
2023SR0351556
邹舟
软件著作权
……
计算机网络防火墙智能化配置系统
2023SR0397416
李志龙
发明专利11项
软件著作权4项
成果类型
成果名称
参与人/第一作者
核心论文
Prompt Sapper: A LLM-Empowered Production Tool for Building AI Chains
程煜
核心论文
Answering Uncertain, Under-Specified API Queries Assisted by Knowledge-
Aware Human-Al Dialogue
李子帅
国际会议
Let's Chat to Find the APIs: Connecting Human, LLM and Knowledge Graph 
through Al Chain
万震宇
国际会议
Prompt-tuned Code Language Model as a Neural Knowledge Base for Type 
Infe",,,,,,['e209370b-f0ee-4238-a24b-dc2d0a4aef12'],
